Topic,Description,Tags,date,author
Marabou stork,"Revision of Infusion Dev in Great Vessel, Perc Endo Approach",Leptoptilos;crumeniferus,7/18/2021,Sheffy Beringer
"Duiker, gray","Inspection of Skin, External Approach",Sylvicapra;grimma,1/2/2022,Cindra Moorerud
Small-clawed otter,"Drainage of Sigmoid Colon, Perc Endo Approach, Diagn",Aonyx;cinerea,4/4/2022,Wilow Bugler
House sparrow,"Drainage of Upper Tooth with Drain Dev, Open Approach, All",Passer;domesticus,5/7/2021,Sonnie Gingles
"Buffalo, asian water","Restriction of Esophag with Extralum Dev, Perc Endo Approach",Bubalus;arnee,5/29/2021,Suzann Dufton
Woolly-necked stork,"Restriction of Left Subclavian Vein, Open Approach",Ciconia;episcopus,1/3/2022,Didi Spancock
"Hen, sage","Excision of Right Internal Carotid Artery, Perc Approach",Centrocercus;urophasianus,3/8/2022,Gretel Blamire
Cobra (unidentified),"Imaging, Female Reproductive System, Plain Radiography",Naja;sp.,10/13/2021,Hershel Purkis
Sage grouse,"Removal of Nonautologous Tissue Substitute from R Eye, Endo",Centrocercus;urophasianus,11/6/2021,Pippa Giral
"Hedgehog, south african","Fusion of Lum Jt, Post Appr A Col, Perc Endo Approach",Erinaceus;frontalis,3/16/2022,Corrinne Grigoire
"Trotter, lily","Drainage of Right Ureter, Via Opening, Diagn",Actophilornis;africanus,9/22/2021,Fanny Lloyd-Williams
Gaur,"Drainage of Bilateral Epididymis, Open Approach",Bos;frontalis,6/12/2021,Callida Rojas
Sockeye salmon,Fluoroscopy of Bilateral Common Carotid Arteries,Oncorhynchus;nerka,12/25/2021,Carmelle Bridgen
Southern tamandua,"Revision of Nonaut Sub in Lum Jt, Perc Endo Approach",Tamandua;tetradactyla,9/11/2021,Scarlett Durie
"Mynah, common","Revision of Synth Sub in Mouth/Throat, Perc Approach",Acridotheres;tristis,9/7/2021,Ellwood McHan
"Cockatoo, red-tailed","Drainage of Left Thumb Phalanx with Drain Dev, Perc Approach",Calyptorhynchus;magnificus,1/30/2022,Lavena Ney
Long-tailed skua,"Restrict of Inf Vena Cava with Extralum Dev, Perc Approach",Stercorarius;longicausus,7/12/2021,Keir Catterill
"Kiskadee, great","Replace of R Temporomandib Jt with Synth Sub, Open Approach",Pitangus;sulphuratus,4/2/2022,Sigismund Petrichat
"Booby, masked","Transfuse Autol Fresh Plasma in Central Art, Perc",Sula;dactylatra,6/11/2021,Warden Twelves
Blue wildebeest,"Release Right Hand Muscle, Percutaneous Endoscopic Approach",Connochaetus;taurinus,11/18/2021,Myrwyn Bancroft
Tasmanian devil,"Resection of Pericardium, Percutaneous Endoscopic Approach",Sarcophilus;harrisii,8/12/2021,Merwyn Bumphries
"Whale, long-finned pilot","Revision of Autol Sub in L Glenoid Cav, Perc Approach",Globicephala;melas,9/23/2021,Licha Aubrey
Little brown bat,"Detachment at Right 3rd Toe, High, Open Approach",Myotis;lucifugus,6/2/2021,Vassily Elkington
"Kingfisher, pied","Extirpation of Matter from Radial Nerve, Perc Approach",Ceryle;rudis,10/20/2021,Vlad Boyda
"Heron, goliath","Extraction of Right Elbow Bursa and Ligament, Open Approach",Ardea;golieth,6/8/2021,Amalee Popley
Jungle kangaroo,"Drainage of R Hip Tendon with Drain Dev, Perc Endo Approach",Macropus;agilis,8/2/2021,Wilona Oller
"Bird, red-billed tropic","Remove Int Fix from L Metacarpocarp Jt, Perc Endo",Phaethon;aethereus,6/24/2021,Wilton Ashplant
Dama wallaby,"Revision of Synth Sub in L Metacarpal, Perc Approach",Macropus;eugenii,7/14/2021,Reube Caird
Common shelduck,HDR Brachytherapy of Nasopharynx using Iridium 192,Tadorna;tadorna,3/4/2022,Julio Suttling
"Mongoose, banded",Plain Radiography of Oth Up Art using L Osm Contrast,Mungos;mungo,12/27/2021,Paloma Dragonette
"Vulture, black","Removal of Synthetic Substitute from Pancreatic Duct, Endo",Aegypius;tracheliotus,8/19/2021,Inesita Wintersgill
"Macaw, blue and gold","Drainage of Hemiazygos Vein with Drain Dev, Open Approach",Ara;ararauna,7/9/2021,Natka Caddy
Large-eared bushbaby,"Fusion of R Tarsal Jt with Int Fix, Perc Endo Approach",Galago;crassicaudataus,3/26/2022,Grantham Stranieri
"Turkey, common","Supplement Buccal Mucosa with Autol Sub, Extern Approach",Meleagris;gallopavo,4/17/2021,Emeline Kewzick
"Quoll, eastern","Excision of Lower Jaw, Open Approach",Dasyurus;viverrinus,3/21/2022,Herc Rapo
Black-backed magpie,"Bypass Innom Art to Low Arm Vein w Nonaut Sub, Open",Gymnorhina;tibicen,1/9/2022,Abner Perham
"Stork, greater adjutant","Drainage of R Lacrml Duct with Drain Dev, Perc Approach",Leptoptilus;dubius,5/1/2021,Lorie Niece
Defassa waterbuck,"Dilate of Inf Mesent Art with Drug-elut Intra, Perc Approach",Kobus;defassa,10/4/2021,Fidole Doggrell
"Heron, gray","Change Other Device in Diaphragm, External Approach",Ardea;cinerea,6/14/2021,Marylee Kenneway
"Rhinoceros, white","Drainage of C-thor Jt, Open Approach, Diagn",Ceratotherium;simum,10/29/2021,Benedikta Newnham
Southern sea lion,"Insertion of Limb Length Dev into L Up Femur, Perc Approach",Otaria;flavescens,1/26/2022,Nanci Shillinglaw
"Jackrabbit, white-tailed","Release Accessory Pancreatic Duct, Perc Endo Approach",Lepus;townsendii,1/9/2022,Jamison Coleborn
"Wolf, common","Removal of Ext Fix from L Ulna, Perc Endo Approach",Canis;lupus,3/30/2022,Ainsley Deeson
Uinta ground squirrel,Planar Nucl Med Imag of Myocardium using Oth Radionuclide,Spermophilus;armatus,11/9/2021,Pauletta Rothman
"Glider, sugar","Revision of Nonaut Sub in R Breast, Via Opening",Petaurus;breviceps,4/19/2021,Loise Brahms
Potoroo,"Dilation of Anus, Open Approach",Potorous;tridactylus,12/14/2021,Jesselyn Vassie
"Monkey, red howler","Bypass R Kidney Pelvis to Cutan w Autol Sub, Perc Endo",Alouatta;seniculus,9/18/2021,Tanya Getty
Gray langur,"Revision of Synth Sub in L Low Femur, Perc Endo Approach",Semnopithecus;entellus,12/17/2021,Elly Elcott
"Glider, squirrel","Change Other Device in Spinal Canal, External Approach",Petaurus;norfolcensis,11/8/2021,Mable Oppie
Eurasian red squirrel,"Insertion of Intramed Fix into R Humeral Head, Open Approach",Sciurus;vulgaris,12/2/2021,Joya Gellett
"Bird, black-throated butcher","Fusion C-thor Jt w Nonaut Sub, Post Appr A Col, Open",Cracticus;nigroagularis,5/17/2021,Brooks Renyard
"Monster, gila","Supplement Right Wrist Joint with Autol Sub, Open Approach",Heloderma;horridum,6/17/2021,Pall McAirt
African wild cat,"Reattachment of R Shoulder Bursa/Lig, Open Approach",Felis;silvestris;lybica,8/6/2021,Grier Canaan
Richardson's ground squirrel,"Extirpation of Matter from Left Rib, Perc Endo Approach",Spermophilus;richardsonii,2/16/2022,Noella Bage
"Echidna, short-beaked",HDR Brachytherapy of Head & Neck using Iridium 192,Tachyglossus;aculeatus,9/27/2021,Chryste Chappel
Indian leopard,"Supplement Neck with Synth Sub, Perc Endo Approach",Panthera;pardus,10/10/2021,Gerda Astell
Golden-mantled ground squirrel,"Bypass Sigmoid Colon to Sigmoid Colon with Autol Sub, Endo",Spermophilus;lateralis,4/24/2021,Bud Austick
Common ringtail,"Fusion R Metacarpophal Jt w Ext Fix, Perc Endo",Pseudocheirus;peregrinus,5/7/2021,Dannel Ruilton
Burmese brown mountain tortoise,"Excision of Appendix, Perc Endo Approach, Diagn",Manouria;emys,4/8/2022,Shepard Tetlow
Spotted hyena,"Excision of Stomach, Open Approach, Vertical",Crocuta;crocuta,4/23/2021,Marianne M'Quharg
"Butterfly, canadian tiger swallowtail","Bypass Jejunum to Ileum with Autol Sub, Open Approach",Papilio;canadensis,2/19/2022,Crissy Grosvenor
"Dragon, western bearded","Inspection of Ectopic POC, Perc Endo Approach",Amphibolurus;barbatus,4/20/2021,Brynn Fesby
"Glider, sugar","Reposition Lower Artery, Percutaneous Endoscopic Approach",Petaurus;breviceps,6/16/2021,Hartley Scrymgeour
"Cockatoo, slender-billed","Insert Intralum Dev in R Int Jugular Vein, Open",Cacatua;tenuirostris,6/10/2021,Shelby St. Clair
Olive baboon,"Reposition Left Metatarsal-Phalangeal Joint, Extern Approach",Papio;cynocephalus,9/10/2021,Maurice Sabate
Impala,Osteopathic Treatment of Lumbar Region using Lymphatic Pump,Aepyceros;mylampus,6/9/2021,Bartholemy Winham
Crab-eating fox,"Bypass L Int Iliac Art to L Int Ilia w Nonaut Sub, Perc Endo",Dusicyon;thous,10/7/2021,Derwin Allsepp
"Iguana, marine","Supplement Median Nerve with Autol Sub, Perc Endo Approach",Amblyrhynchus;cristatus,2/23/2022,Derril Scad
"Pelican, great white",Plain Radiography of R Brachioceph A using Oth Contrast,Pelecans;onocratalus,10/17/2021,Dame Keymer
Eastern white pelican,"Removal of Autol Sub from L Carpal, Open Approach",Pelecans;onocratalus,2/12/2022,Bess Marcos
"Macaque, bonnet","Revision of Drain Dev in Prostate/Seminal Ves, Perc Approach",Macaca;radiata,7/29/2021,Cassy Tuckwood
White-necked stork,"Supplement Mitral Valve with Autol Sub, Open Approach",Ciconia;episcopus,4/28/2021,Neddie Beels
Columbian rainbow boa,"Control Bleeding in Upper Back, Perc Endo Approach",Epicrates;cenchria;maurus,5/1/2021,Rosene Ingre
Gerbil (unidentified),"Extirpation of Matter from Lum Jt, Open Approach",Gerbillus;sp.,11/26/2021,Brennen Szymanowski
"Lizard, giant girdled","Dilate L Com Iliac Art, Bifurc, w 2 Intralum Dev, Perc",Cordylus;giganteus,8/28/2021,Harrison Raffan
"Pie, indian tree","Repair Right Metatarsal-Phalangeal Joint, External Approach",Dendrocitta;vagabunda,7/8/2021,Maria Wadforth
Moose,"Occlusion of Right Cephalic Vein, Open Approach",Alces;alces,7/2/2021,Harv Roscamps
Greylag goose,"Revision of Nonaut Sub in Peritoneum, Open Approach",Anser;anser,12/17/2021,Jandy Honnicott
"Chickadee, black-capped","Reposition Sacral Nerve, Open Approach",Parus;atricapillus,8/20/2021,Eward Kalf
Red squirrel,"Drainage of Left Kidney Pelvis, Percutaneous Approach, Diagn",Tamiasciurus;hudsonicus,11/29/2021,Henryetta Ferreri
"Monkey, bleeding heart","Fusion Occip Jt w Intbd Fus Dev, Post Appr P Col, Perc Endo",Theropithecus;gelada,8/17/2021,Daryl Pavel
House sparrow,"Destruction of R Int Mamm Art, Perc Endo Approach",Passer;domesticus,2/23/2022,Myles Gusticke
Red-winged blackbird,"Drainage of Right Abdomen Muscle, Perc Endo Approach, Diagn",Agelaius;phoeniceus,10/23/2021,Nye Balog
"Oystercatcher, blackish",Contact Radiation of Esophagus,Haematopus;ater,10/29/2021,Tallie Kirrage
"Goose, greylag","Removal of Drain Dev from L Sacroiliac Jt, Extern Approach",Anser;anser,4/27/2021,Lorena Giveen
Red-billed buffalo weaver,Plaque Radiation of Pituitary Gland,Bubalornis;niger,2/15/2022,Melisent Steed
"Gull, herring",Removal of Traction Apparatus on Right Finger,unavailable,10/9/2021,Gerick Taffurelli
Great kiskadee,"Replace of L Thumb with R Toe, Autol Sub, Perc Endo Approach",Pitangus;sulphuratus,4/11/2022,Breena Songest
African black crake,"Supplement of Right Eye with Nonaut Sub, Perc Approach",Limnocorax;flavirostra,1/30/2022,Kip Bridal
Jaguarundi,LDR Brachytherapy of Pleura using Palladium 103,Felis;yagouaroundi,12/8/2021,Kayla Swanborrow
"Iguana, common green","Destruction of Inferior Vena Cava, Perc Endo Approach",Iguana;iguana,2/10/2022,Petra Castangia
"Lizard, mexican beaded","Release Left Ventricle, Open Approach",Heloderma;horridum,7/5/2021,Gabriel Clifforth
Hoffman's sloth,"Revision of Synth Sub in R Extraoc Muscle, Open Approach",Choloepus;hoffmani,5/3/2021,Davida Maffioletti
"Snake, western patch-nosed","Drainage of Female Perineum, Perc Endo Approach",Salvadora;hexalepis,3/19/2022,Mallory Dayly
Common ringtail,Muscle Perform Trmt Musculosk Low Back/LE w Prosthesis,Pseudocheirus;peregrinus,10/21/2021,Cristal Brasseur
Coqui francolin,"Reposition Right Upper Femur, Percutaneous Approach",Francolinus;coqui,7/29/2021,Reggie Hardington
"Cobra, egyptian","Drainage of Left Rib, Open Approach",Naja;haje,7/10/2021,Janot Broggio
Tiger cat,"Inspection of Diaphragm, Open Approach",Dasyurus;maculatus,9/10/2021,Gates Portam
"Lion, steller sea","Bypass L Com Iliac Art to R Ext Ilia w Autol Art, Open",Eumetopias;jubatus,7/18/2021,Ethelind Gocke
Mocking cliffchat,"Extirpation of Matter from Descend Colon, Perc Endo Approach",Thamnolaea;cinnmomeiventris,12/4/2021,Clotilda Barkas
Arboral spiny rat,"Revision of Synthetic Substitute in Lumsac Jt, Perc Approach",Echimys;chrysurus,6/5/2021,Hilary Mucklo
"Mynah, common",Magnetic Resonance Imaging (MRI) of Left Patella,Acridotheres;tristis,7/25/2021,Coletta Carillo
Blesbok,"Revision of Synthetic Substitute in Ureter, Open Approach",Damaliscus;dorcas,7/10/2021,Lorenza Beale
"Mynah, common","Excision of Cerebellum, Perc Endo Approach, Diagn",Acridotheres;tristis,4/24/2021,Blakelee Marion
"Admiral, indian red","Removal of Autol Sub from L Shoulder Jt, Open Approach",Vanessa;indica,8/30/2021,Verine Bambridge
Pig-tailed macaque,"Removal of Intralum Dev from Urethra, Perc Endo Approach",Macaca;nemestrina,3/14/2022,Kristos Raft
Agile wallaby,"Fusion Occip Jt w Autol Sub, Post Appr A Col, Perc Endo",Macropus;agilis,1/30/2022,Iggy Bodiam
"Butterfly, tropical buckeye","Resection of Esophagus, Endo",Junonia;genoveua,1/26/2022,Shepherd Sallings
Brown and yellow marshbird,"Destruction of Left Parietal Bone, Perc Endo Approach",Pseudoleistes;virescens,10/22/2021,Ruperto Puddifer
"Francolin, swainson's","Drainage of Bilateral Breast, Percutaneous Approach",Francolinus;swainsonii,2/24/2022,Inger Budnk
"Openbill, asian","Removal of Drainage Device from Upper Muscle, Open Approach",Anastomus;oscitans,12/31/2021,Rochester Swancott
Green vine snake,"Release Bilateral Vas Deferens, Perc Endo Approach",Oxybelis;fulgidus,12/13/2021,Caleb Keyson
Small-toothed palm civet,"Drainage of Left Femoral Shaft, Percutaneous Approach",Arctogalidia;trivirgata,7/7/2021,Ellis Sexon
Barasingha deer,CT Scan of R Humerus using L Osm Contrast,Cervus;duvauceli,1/4/2022,Anabella Gerardot
Potoroo,"Insertion of Radioactive Element into GU Tract, Via Opening",Potorous;tridactylus,9/14/2021,Brnaby Grenkov
"Whale, baleen","Supplement Right Vocal Cord with Synth Sub, Via Opening",Eubalaena;australis,7/18/2021,Jerad Sandford
"Squirrel, african bush","Drainage of Sternum, Open Approach",Paraxerus;cepapi,9/18/2021,Lianne Trawin
"Bulbul, african red-eyed",Nonimaging Nuclear Medicine Assay of KUB using Iodine 125,Pycnonotus;nigricans,10/12/2021,Logan Stokey
Puku,Fluoroscopy of Right Upper Arm,Kobus;vardonii;vardoni,7/30/2021,Kathryne Erickssen
"Buffalo, wild water",Immobilization of Right Hand using Splint,Bubalus;arnee,4/4/2022,Sal Wayper
